PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
"LA UNION",Aringay,Alaska,53,,,140,"Aringay Central Elemetary School East Compound Gabaldon"
"LA UNION",Aringay,Alaska,61,,,151,"Aringay Central Elemetary School West Compound Gabaldon"
"LA UNION",Balaoan," Paraoir",33,0,0,80,"Municipal Evacuation Center"
"LA UNION",Balaoan," Almeida",12,,,29,"Municipal Evacuation Center"
"LA UNION",Balaoan," San Pablo",2,,,6,"Municipal Evacuation Center"
"LA UNION",Balaoan," Bulbulala",2,,,12,"Municipal Evacuation Center"
"LA UNION",Balaoan," Pantar Norte",3,,,8,"Municipal Evacuation Center"
"LA UNION",Luna," Tallaoen",1,0,0,1," Child Development Center"
"LA UNION",Luna,"Sto. Domingo Sur",1,,,6," Barangay hall"
"LA UNION",Luna,Magallanes,5,,,13," Child Development Center"
"LA UNION",Luna,Magallanes,5,,,13," Barangay hall"
"LA UNION",Luna,Magallanes,2,,,5,"BHW Office"
"LA UNION",Luna,Magallanes,2,,,6,"SK Office"
"LA UNION",Bauang,Pilar,25,0,0,97,"Bauang North Central School Gymnasium Santiago Satellite Evacuation Center Dili Brgy Hall, Pudoc Brgy. Hall, Cabisilan Barangay Hall, MDRRMO Evacuation Center, Payocpoc Sur Covered Court, Pudoc Elementary School, Bucayab Brgy. Hall UCCP Calumbaya Tubao Credit Cooperative Satellite Office, Paringao National High School Santiago Commercial Center Warehouse Urayong Barangay Hall Parian Integrated School, Santiago Elementary School, Guerrero Barangay Hall, Mormon's Church Quinavite Nagrebcan Elementary School Acao Brgy. Hall"
"LA UNION",Bauang,Taberna,1,,,3,"Motor pool Santiago (Bauang)"
"LA UNION",Bauang,Taberna,2,,,6,"Day Care Center"
"LA UNION",Bauang,Taberna,1,,,3,BNCS
"LA UNION",Bauang,Pudoc,7,,,11,"Outside Evaucation"
"LA UNION",Bauang,"Central East (Poblacion)",44,,,133,"Pudoc Brgy Hall"
"LA UNION",Bauang,Dili,4,,,16,BNCS
"LA UNION",Bauang,"Baccuit Norte",2,,,4,"Dili Brgy Hall"
"LA UNION",Bauang," Cabisilan",2,,,7,"Cabisilan Brgy Hall"
"LA UNION",Bauang,"Central West (Poblacion)",12,,,35,"MDRRMO Evacuation Center"
"LA UNION","San Fernando City",Poro,36,0,0,89,"Poro Covered Court, Poro Pavilion, Poro Evacuation Center"
"LA UNION","San Fernando",Carlatan,13,,,40," Lingsat Integrated School"
"LA UNION","San Fernando","Dalumpinas Oeste",11,,,35," Lingsat Integrated School"
"LA UNION","San Fernando","Dallangayan Oeste",6,,,20,"Brgy. Hall"
"LA UNION","San Fernando","Santiago Norte",2,,,6,"Santiago Norte Brgy Hall"
"LA UNION","San Fernando",Catbangen,35,,,125,"Catbangen Central School"
"LA UNION","San Fernando","Ilocanos Sur",19,,,71,"Catbangen Central School"
"LA UNION","San Fernando","San Agustin",167,,,379,"Catbangen Central School"
"LA UNION","San Fernando",Sevilla,7,,,25," Day Care Center"
"LA UNION","San Fernando"," Sagayad",24,,,82,"Sagayad Relocation Covered Court"
"LA UNION","San Fernando",Cadaclan,1,,,5," Cadaclan Health Care Center"
"LA UNION","San Fernando"," Parian",11,,,46," Parian Evacuation Center"
"LA UNION","San Fernando",Namtuatan,2,,,6," Masjid Muslim Center"
"LA UNION","San Fernando",Namtuatan,7,,,51,"Outside Evacuation"
"LA UNION","San Fernando","Barangay I",7,,,23," Brgy. Hall"
"LA UNION","San Fernando","Ilocanos Norte",16,,,64,"CDRRMO 24/7 Operations Center"
"LA UNION","San Fernando",Canaoay,1,,,2,"CDRRMO 24/7 Operations Center"
"LA UNION","San Fernando"," Pagdaraoan",4,,,16,"Outside Evacuation - relative"
"LA UNION","San Fernando"," Pagdaraoan",2,,,7," Outside Evacuation - neighbor"
"LA UNION","San Fernando",Cabaroan,6,,,20,"Brgy Hall"
"LA UNION","San Fernando",Langcuas,4,,,16,"SK Teen Care"
"LA UNION","San Fernando",Bacsil,1,,,5,"Brgy Hall"
"LA UNION","San Fernando"," San Vicente",1,,,4,"Brgy Hall"
"LA UNION",Agoo,"San Nicolas West",1,0,0,2,"Sta Rita Elementary School"
"LA UNION",Agoo,"Santa Rita West",1,,,4,"Sta Rita Elementary School"
"LA UNION",Agoo," Balawarte",103,,,250," San Julian Integrated School, Brgy Hall, Day Care Center "
"LA UNION",Agoo,Purok,1,,,4," Covered Court"
"LA UNION",Agoo,"San Julian West",20,,,64," San Julian Integrated School"
"LA UNION",Agoo," Sta Rita Sur",11,,,33,"Barangay Hall"
"LA UNION",Agoo," Sta Rita Sur",2,,,6," Outside Evacuation"
"LA UNION",Santol,Mangaan,4,0,0,10," Brgy Hall"
"LA UNION",Santol,Mangaan,17,,,52," Outside evacuation"
"LA UNION",Santol,Sasaba,5,,,18," Outside evacuation"
"LA UNION",Santol,Corro-oy,1,,,4," Outside evacuation"
"LA UNION",Santol,Puguil,1,,,5," Outside evacuation"
"LA UNION",Santol,Tubaday,1,,,4," Outside evacuation"
